played_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,track_uri
2025-10-19T17:43:27.904Z,1SvZCgcNyuRS7hgdqHphE0,The Latin Quarter,0pWDwAU3grBQc9GAIQOP2N,Satoshi Takebe,3rc7HXbkC0kSZIQeQBoqXZ,From Up On Poppy Hill Soundtrack,2011-07-13,142506,46,False,spotify:track:1SvZCgcNyuRS7hgdqHphE0
2025-10-19T17:41:05.059Z,67PSa2ZYjTtS01UWrxkKAy,"Fauré: Sicilienne, Op. 78",2gClsBep1tt1rv1CN210SO,Gabriel Fauré,0J7ufiXuDy70tuH63bTV6y,Fauré: Complete Chamber Music for Strings,2011-09-05,232995,38,False,spotify:track:67PSa2ZYjTtS01UWrxkKAy
2025-10-19T17:37:11.518Z,38DYHnTRQ4HgYmP32sS3vu,Anna - Piano Version,15FC47aoLjTKgv0otgmXLN,Yomiuri Nippon Symphony Orchestra,00odo2OS2nQ1j15oeG53g2,When Marnie Was There Soundtrack Music Collection,2014-07-16,233600,37,False,spotify:track:38DYHnTRQ4HgYmP32sS3vu
2025-10-19T17:33:16.146Z,0mO1AAfzsP4wC8YU0g0Yy6,"Oneday, Suddenly",7nfj1dTvdtygu4xz94BF11,The Soundtrack Kings,0GbGUG870WfzNeD26Wwfkw,Beauty Inside (Original Motion Picture Soundtrack),2015-09-07,183453,21,False,spotify:track:0mO1AAfzsP4wC8YU0g0Yy6
2025-10-19T17:30:15.968Z,1jxbEpJO05x0p81wVwYACl,"Waltz ""Katzen Blut""",2ItyqN4i9lNz49g421p0Cl,Yuji Nomi,1KDCap6BtIiJsmvilIA9oG,The Cat Returns (Original Soundtrack),2002-07-17,98800,47,False,spotify:track:1jxbEpJO05x0p81wVwYACl
2025-10-19T17:28:32.365Z,3gFQOMoUwlR6aUZj81gCzu,One Summer Day,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,766a5fKJYFy9ii4Kz2bQy9,Spirited Away Soundtrack,2001-07-18,189800,65,False,spotify:track:3gFQOMoUwlR6aUZj81gCzu
2025-10-19T17:25:22.236Z,0p8gAcPkDYgzcZZwAou12B,"Scene I, Kyoto",5JZautVqz7ojSZdWHldk7b,Umitaro Abe,58qq0mSyZZV66wEDiMu93i,Cahier de musique / 音楽手帖,2016-12-21,87693,44,False,spotify:track:0p8gAcPkDYgzcZZwAou12B
2025-10-19T17:23:54.103Z,4YAV1yhnA5PPfngdzszniB,The Theme of the Ghiblies,3Wi0jWFgODuHv7saFZRzEO,Manto Watanobe,4R7iregFHYlJAZcXMPrx14,The Ghiblies Episode 2 (Original Soundtrack),2002-06-26,229693,37,False,spotify:track:4YAV1yhnA5PPfngdzszniB
2025-10-19T17:20:03.972Z,3iyINjITP40s8XrxAtn02W,First Impression,3yGeOkXjCDmbjPim19SBmP,Shigeru Nagata,6nuyCZwPP0gdYpdoNCfhVU,The Ocean Waves (Original Soundtrack),1993,98866,35,False,spotify:track:3iyINjITP40s8XrxAtn02W
2025-10-19T17:18:24.202Z,4Ybnlh6ZJPqK6Os6QbQL5H,Main Theme,2B5mYImShgfHqzyoroFr0w,Katsu Hoshi,3TSh2VevYJEb5wfrnyHMVM,Only Yesterday Original Soundtrack,1991,109000,52,False,spotify:track:4Ybnlh6ZJPqK6Os6QbQL5H
2025-10-19T17:16:35.173Z,4oKAQlB4uLq8vFP61pqe7F,"A Princess Without A Voice - From ""The Shape Of Water"" Soundtrack",71jzN72g8qWMCMkWC5p1Z0,Alexandre Desplat,0mmPgVrTR72lCP10HOM4vn,Alexandre Desplat: Focus,2022-04-22,110200,17,False,spotify:track:4oKAQlB4uLq8vFP61pqe7F
2025-10-19T17:14:43.922Z,15yScQGLH5QOuXm9XbhnPb,Leaving Hogwarts,3dRfiJ2650SZu6GbydcHNb,John Williams,6zeHM5CV0CjcS0K8ouWE4N,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,2001-10-30,133573,57,False,spotify:track:15yScQGLH5QOuXm9XbhnPb
2025-10-19T17:12:35.694Z,1hBgKtsF3y1T1r5mIwIJAi,The Canal at Dusk,0pWDwAU3grBQc9GAIQOP2N,Satoshi Takebe,3rc7HXbkC0kSZIQeQBoqXZ,From Up On Poppy Hill Soundtrack,2011-07-13,110000,35,False,spotify:track:1hBgKtsF3y1T1r5mIwIJAi
2025-10-19T17:10:39.596Z,6e5nUhH2xx4iCC4lrAuLc4,Men of the Earth,5GanIrznsC3Zhi94LHbZqW,Tamiya Terashima,66P1f9J3PbfNKk0YXHYMyf,Tales from Earthsea Soundtrack,2006-07-12,190333,28,False,spotify:track:6e5nUhH2xx4iCC4lrAuLc4
2025-10-19T17:07:39.114Z,7rdPF4veJD73QRRvFcR0sK,Breeze Blowing on the Hilltop,2ItyqN4i9lNz49g421p0Cl,Yuji Nomi,0yOhYn348rz2j3mUne0fpH,Whisper of the Heart Soundtrack,1995,137706,37,False,spotify:track:7rdPF4veJD73QRRvFcR0sK
2025-10-19T17:05:10.868Z,26W3vc21aHLaHF90gbsiq1,Day Of The River,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,766a5fKJYFy9ii4Kz2bQy9,Spirited Away Soundtrack,2001-07-18,193000,55,False,spotify:track:26W3vc21aHLaHF90gbsiq1
2025-10-19T17:01:56.857Z,4SBHuF59wYA32i3O1Yfv1L,I Love Penny Sue,1v1sbhRjpHfjqdBpSiwCvc,Daniel May,4T6ytV8yCJ9UJ8CsWjetq0,Midnight in Paris (Music from the Motion Picture),2011-12-09,197906,34,False,spotify:track:4SBHuF59wYA32i3O1Yfv1L
2025-10-19T16:58:38.251Z,11Jbb56m2JXlZmcDim0FLR,Beautiful Morning,0UG5sCzTJoQXp7RvjoypkI,Celestial Conscience,4NLqrO3jBDx55fiEkPY6ES,Guitar for Reels,2022-02-03,79564,14,False,spotify:track:11Jbb56m2JXlZmcDim0FLR
2025-10-19T16:57:18.258Z,5zWApWHO6FqSqfC0LMEdht,The Two on the Boat,2FdBheCRIgBMhygsbki1mO,Takatsugu Muramatsu,00odo2OS2nQ1j15oeG53g2,When Marnie Was There Soundtrack Music Collection,2014-07-16,106706,37,False,spotify:track:5zWApWHO6FqSqfC0LMEdht
2025-10-19T16:55:35.235Z,3dIQDP3cylTLG2eDpuGSMg,On a Sunny Day,3yGeOkXjCDmbjPim19SBmP,Shigeru Nagata,6nuyCZwPP0gdYpdoNCfhVU,The Ocean Waves (Original Soundtrack),1993,218066,33,False,spotify:track:3dIQDP3cylTLG2eDpuGSMg
2025-10-19T16:51:52.524Z,2rhAvn7oX3nK3pR3c8APik,Two Cents Party,3q1blSi57degdJeXeay4SM,Erikson Jayanto,1rTHwoftDwfxpM4ePG5SQq,Two Cents Party,2020-12-04,180000,40,False,spotify:track:2rhAvn7oX3nK3pR3c8APik
2025-10-19T16:48:51.982Z,1APAESKYqHJnAS1hK5VVYR,Safflower Picking in Rain,2B5mYImShgfHqzyoroFr0w,Katsu Hoshi,3TSh2VevYJEb5wfrnyHMVM,Only Yesterday Original Soundtrack,1991,97800,40,False,spotify:track:1APAESKYqHJnAS1hK5VVYR
2025-10-19T16:47:13.265Z,3uQ8Lxam1pAGnUnXPSb7A9,淡水海邊,2elBjNSdBE2Y3f0j1mjrql,Jay Chou,7eoWv4CgghZ0gvWjjdye98,不能說的秘密電影原聲帶,2007-08-13,65706,34,False,spotify:track:3uQ8Lxam1pAGnUnXPSb7A9
2025-10-19T16:46:07.467Z,76cUb9qc2hTwV5MV5xpvnK,Reminiscence,0pWDwAU3grBQc9GAIQOP2N,Satoshi Takebe,3rc7HXbkC0kSZIQeQBoqXZ,From Up On Poppy Hill Soundtrack,2011-07-13,122600,47,False,spotify:track:76cUb9qc2hTwV5MV5xpvnK
2025-10-19T16:44:04.368Z,1ZvKmovZw3Qu5izfGwrW96,Talking with Cats,2ItyqN4i9lNz49g421p0Cl,Yuji Nomi,1KDCap6BtIiJsmvilIA9oG,The Cat Returns (Original Soundtrack),2002-07-17,100333,44,False,spotify:track:1ZvKmovZw3Qu5izfGwrW96
2025-10-19T16:42:23.006Z,2ZJ28Rm7OXMYJshLtp5uff,A Town with an Ocean View,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,2NO5lYWs4aWpsmHOjF4JHk,Kiki's Delivery Service Soundtrack Music Collection,1989-08-10,180333,61,False,spotify:track:2ZJ28Rm7OXMYJshLtp5uff
2025-10-19T16:39:23.569Z,6hoGuPbmWRl5uw6DD1Nbbq,Bygone Days,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,6NhWTFHoOj5n0UhbBkq5G3,Porco Rosso Soundtrack,1992,136400,52,False,spotify:track:6hoGuPbmWRl5uw6DD1Nbbq
2025-10-19T06:28:37.975Z,2gIyLzwAB0kagC7WwQaGWy,utatane,0ufoLkr55gheQNunOgkTae,Leina,7i4NY6tlCB2YvAJnmIyuod,tulip,2023-10-18,181022,46,False,spotify:track:2gIyLzwAB0kagC7WwQaGWy
2025-10-19T02:57:43.757Z,0FYgbU053OIe4Mg6EtxSgp,Find Your Throne,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,206387,38,False,spotify:track:0FYgbU053OIe4Mg6EtxSgp
2025-10-19T02:54:17.413Z,3K9a6cp22vv8LLiS2IgjnN,Skeleton Key,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,182554,49,False,spotify:track:3K9a6cp22vv8LLiS2IgjnN
2025-10-19T02:51:14.697Z,6hd9PsMDYaBEkQOjq6F3XH,The Title Track,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,151196,53,False,spotify:track:6hd9PsMDYaBEkQOjq6F3XH
2025-10-19T02:48:43.610Z,4NGJPKIULc39WvgNwDjKQT,Escape Rope,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,136890,40,False,spotify:track:4NGJPKIULc39WvgNwDjKQT
2025-10-19T02:46:26.818Z,1OaxNRElmUYeg84ZqBGIr0,Say Less,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,145236,39,True,spotify:track:1OaxNRElmUYeg84ZqBGIr0
2025-10-19T02:44:01.505Z,4udlZkMAIyKsx4PZefD4Yb,Doctor Whomst,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,179277,46,False,spotify:track:4udlZkMAIyKsx4PZefD4Yb
2025-10-19T02:41:02.184Z,2iQ3T5KI7n6sMSNXRBkjSD,666 Flags,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,167450,43,True,spotify:track:2iQ3T5KI7n6sMSNXRBkjSD
2025-10-19T02:38:14.588Z,0ZwS03v4euiMztP9xDLgoO,24 Hr Drive-Thru,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,164032,49,False,spotify:track:0ZwS03v4euiMztP9xDLgoO
2025-10-19T02:35:30.597Z,4fFiXfYW8JTyWwysayiNUf,Welcome to...,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,185133,39,False,spotify:track:4fFiXfYW8JTyWwysayiNUf
2025-10-19T02:32:24.981Z,3RBptDxpH6VntWaNISmPDi,The Air Up Here,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,284813,40,False,spotify:track:3RBptDxpH6VntWaNISmPDi
2025-10-19T02:27:40.201Z,0FYgbU053OIe4Mg6EtxSgp,Find Your Throne,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,206387,38,False,spotify:track:0FYgbU053OIe4Mg6EtxSgp
2025-10-19T02:24:13.954Z,3K9a6cp22vv8LLiS2IgjnN,Skeleton Key,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,182554,49,False,spotify:track:3K9a6cp22vv8LLiS2IgjnN
2025-10-19T02:21:11.812Z,6hd9PsMDYaBEkQOjq6F3XH,The Title Track,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,151196,53,False,spotify:track:6hd9PsMDYaBEkQOjq6F3XH
2025-10-19T02:18:40.240Z,4NGJPKIULc39WvgNwDjKQT,Escape Rope,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,136890,40,False,spotify:track:4NGJPKIULc39WvgNwDjKQT
2025-10-19T02:16:23.088Z,1OaxNRElmUYeg84ZqBGIr0,Say Less,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,145236,39,True,spotify:track:1OaxNRElmUYeg84ZqBGIr0
2025-10-19T02:13:57.978Z,4udlZkMAIyKsx4PZefD4Yb,Doctor Whomst,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,179277,46,False,spotify:track:4udlZkMAIyKsx4PZefD4Yb
2025-10-19T02:10:58.627Z,2iQ3T5KI7n6sMSNXRBkjSD,666 Flags,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,167450,43,True,spotify:track:2iQ3T5KI7n6sMSNXRBkjSD
2025-10-19T02:08:11.208Z,0ZwS03v4euiMztP9xDLgoO,24 Hr Drive-Thru,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,164032,49,False,spotify:track:0ZwS03v4euiMztP9xDLgoO
2025-10-19T02:05:27.252Z,4fFiXfYW8JTyWwysayiNUf,Welcome to...,0cmSXx965Hnm6fP42oW6vY,Origami Angel,4h2ME3sBJVi1X3KTwLJXnn,Somewhere City,2019-11-15,185133,39,False,spotify:track:4fFiXfYW8JTyWwysayiNUf
2025-10-18T18:19:06.578Z,78W4mTLIh4qoLu92W4IQhO,ライラック,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,40CHqDtwO8xlI3Ns7sZZel,ライラック,2024-04-11,288200,72,False,spotify:track:78W4mTLIh4qoLu92W4IQhO
2025-10-18T18:14:19.109Z,2gIyLzwAB0kagC7WwQaGWy,utatane,0ufoLkr55gheQNunOgkTae,Leina,7i4NY6tlCB2YvAJnmIyuod,tulip,2023-10-18,181022,46,False,spotify:track:2gIyLzwAB0kagC7WwQaGWy
2025-10-18T18:11:15.114Z,78W4mTLIh4qoLu92W4IQhO,ライラック,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,40CHqDtwO8xlI3Ns7sZZel,ライラック,2024-04-11,288200,72,False,spotify:track:78W4mTLIh4qoLu92W4IQhO
